season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
2,16,The Wednesday Incident,15 Feb. 2015,8.0,2498,"Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime."
2,17,Boyle-Linetti Wedding,1 Mar. 2015,8.2,2567,"It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding."
2,18,Captain Peralta,8 Mar. 2015,7.8,2464,"Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets."
2,19,Sabotage,15 Mar. 2015,7.9,2437,Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance performance.
2,20,AC/DC,26 Apr. 2015,7.7,2415,"Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well."
2,21,Det. Dave Majors,3 May 2015,8.0,2450,"Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door."
2,22,The Chopper,10 May 2015,8.6,2574,"When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls off the wait list for a magnet school by hosting a field trip."
2,23,Johnny and Dora,17 May 2015,9.1,3426,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer."
3,1,New Captain,27 Sep. 2015,8.3,2743,"Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss."
3,2,The Funeral,4 Oct. 2015,7.7,2466,"The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer."
